,PLAYER NAME,Avg Fairs Hit
144,Jamie Donaldson,0.6009036144578314
145,Jamie Lovemark,0.5721090615046546
146,Jason Bohn,0.6760294346952579
147,Jason Day,0.5680508101974248
148,Jason Dufner,0.652076437253623
149,Jason Gore,0.6514710636922082
150,Jason Kokrak,0.5896501096765058
151,Jeff Overton,0.5906261086407677
152,Jerry Kelly,0.7082689501244742
153,Jhonattan Vegas,0.5800518560531918
154,Jim Furyk,0.7151578525020829
155,Jim Herman,0.6798487515464534
156,Jim Knous,0.5520974289580515
157,Jim Renner,0.5743756786102063
158,Jimmy Walker,0.514661629827875
159,Joaquin Niemann,0.5913360617290334
160,Joel Dahmen,0.6675333342618611
161,Joey Garber,0.6251572327044025
162,John Chin,0.5814569536423841
163,John Huh,0.6625868423195114
164,John Merrick,0.6831875607385811
