,PLAYER NAME,Proximity AVG
143,James Hahn,0.02804758606755199
144,Jamie Donaldson,0.025158895387903023
145,Jamie Lovemark,0.02600725227212973
146,Jason Bohn,0.029749397480790724
147,Jason Day,0.026575769857537245
148,Jason Dufner,0.029285435676940436
149,Jason Gore,0.030585742670410768
150,Jason Kokrak,0.027785559799346573
151,Jeff Overton,0.0271626075546546
152,Jerry Kelly,0.029433317374887573
153,Jhonattan Vegas,0.026804573570977763
154,Jim Furyk,0.030192121409742197
155,Jim Herman,0.028330804046303438
156,Jim Knous,0.026368147006423894
157,Jim Renner,0.028930302359558353
158,Jimmy Walker,0.02704252941037579
159,Joaquin Niemann,0.028596143716910744
160,Joel Dahmen,0.029011538716462545
161,Joey Garber,0.026816812884640565
162,John Chin,0.026070391682106155
163,John Huh,0.027060029807182574
