,PLAYER NAME,Put Carry,Score Carry,T2G Carry
73,Chris Kirk,0.004568738095238098,0.12522229166666665,0.1206557619047619
74,Chris Stroud,0.0008303750368405536,-0.16310289014146773,-0.1639313955201886
75,Cody Gribble,0.06286719759168036,-0.23709432585294657,-0.2999572377303412
76,Collin Morikawa,-0.05560446009389671,0.2301757362355954,0.2857887537345284
77,Conrad Shindler,-0.016647727272727272,-0.03130681818181818,-0.014654545454545457
78,Corey Conners,-0.15727732483871815,0.23597797336894175,0.39326259321631263
79,Curtis Luck,0.04455454545454546,-0.11041590909090909,-0.15497045454545455
80,D.A. Points,-0.03677284482758621,-0.1855025143678161,-0.14873347701149428
81,D.J. Trahan,-0.10215467720685112,-0.1307675230566535,-0.028612845849802372
82,Daniel Berger,0.11647101197332041,0.48608815351515555,0.3696226850859215
83,Daniel Summerhays,0.08459717586649551,-0.205606675224647,-0.29019736842105265
84,Danny Lee,-0.05699767543859649,-0.03573304359383307,0.021276463886990202
85,Danny Willett,0.0013200892857142838,0.02532564285714286,0.024014696428571423
86,David Hearn,0.0017467932951502688,-0.13520848460470125,-0.1369483280101181
87,David Lingmerth,0.07127536231884057,0.046892753623188406,-0.024381159420289854
88,Denny McCarthy,0.27984081985302484,0.12993195694833118,-0.14989711751757562
89,Derek Fathauer,0.04563887867647059,-0.14537564338235293,-0.19101121323529416
90,Doc Redman,-0.000577991718426501,0.05705699792960664,0.05764507246376812
91,Dominic Bozzelli,0.16229094764135163,-0.161617286337784,-0.32390885808570824
92,Doug Ghim,-0.05895257936507937,0.01205138888888889,0.07101170634920637
93,Dustin Johnson,0.11995109885316108,0.8235759565369486,0.7036260687945479
94,Dylan Frittelli,-0.07498598039215687,0.022270784313725492,0.09727225490196079
95,Emiliano Grillo,-0.12694493128124607,0.22891847616275923,0.3558649262502933
96,Erik van Rooyen,0.01930294117647059,0.05119117647058824,0.03188676470588236
97,Ernie Els,0.0468218018018018,-0.12039657657657658,-0.16721234234234233
98,Ethan Tracy,-0.002598148148148148,-0.08125185185185185,-0.07865370370370371
99,Fabián Gómez,-0.040304842345930784,-0.17586287627727148,-0.13553183672168762
100,Francesco Molinari,-0.07867729918015379,0.25252406864619176,0.3312055031646914
101,Freddie Jacobson,0.014177500000000003,-0.0826125,-0.0967925
102,Gary Woodland,-0.02538009654760258,0.34867225912936617,0.3740571365990969
103,Geoff Ogilvy,0.004313432835820896,-0.015180597014925374,-0.019491044776119404
104,Gonzalo Fernandez-Castaño,0.04891590909090909,-0.007765909090909091,-0.05668409090909091
105,Graeme McDowell,0.1550555910693302,0.07958923149236194,-0.07545642538190364
106,Graham DeLaet,0.02906901408450704,0.07679859154929579,0.04773239436619719
107,Grayson Murray,-0.24635061598359045,-0.3070232495881531,-0.06066806412304307
108,Greg Chalmers,0.11063629842180775,-0.17989820659971306,-0.29053059540889525
109,Hank Lebioda,-0.04635185496682552,0.0240051288041616,0.07036728966140238
110,Harold Varner III,-0.07732781266152199,0.22525834236774617,0.3025900843393321
111,Harris English,0.21854147104963378,0.25046632419764403,0.03193059724051904
112,Harry Higgs,0.03229942028985507,0.004646318840579708,-0.027641971014492756
113,Henrik Norlander,-0.04458026190476191,0.029418738095238095,0.07400478571428572
114,Henrik Stenson,-0.01008744588744589,0.2124564935064935,0.22253939393939398
115,Hideki Matsuyama,-0.11046830035476281,0.55656961316865,0.6670407183965883
116,Hudson Swafford,-0.029491279688956068,-0.10602324404785211,-0.07652640369149329
117,Hunter Mahan,0.12069388647756782,-0.29211266922291423,-0.412810066910495
118,Ian Poulter,0.2054412392344498,0.4057065358851675,0.20025620095693777
119,J.B. Holmes,-0.11560625931445605,-0.009932049216855171,0.10567406855439643
120,J.J. Henry,-0.1656490576848626,-0.15566041811846693,0.009990226867982968
121,J.J. Spaun,-0.07178078879258457,-0.08039294947032624,-0.008608302109666545
122,J.T. Poston,0.15089270369020297,0.1128132644908007,-0.03806938050412378
123,James Hahn,-0.0033889624781396586,0.1058479395009783,0.10924855505341716
124,Jamie Lovemark,-0.0006365384615384618,0.11309615384615385,0.11372753205128207
125,Jason Bohn,-0.013311290322580646,-0.11405645161290323,-0.10074677419354838
126,Jason Day,0.1762549636837327,0.46744181285280073,0.2911893167015356
127,Jason Dufner,-0.16257657375420534,0.06556861705545916,0.2281464984142616
128,Jason Kokrak,-0.005538528399553752,0.2972595659915203,0.3028053184745738
129,Jhonattan Vegas,-0.11582604081380687,0.14627871449618612,0.2621169886954307
130,Jim Furyk,0.06370329727480759,0.18156165083327555,0.11787028118715762
131,Jim Herman,-0.08197871541185546,-0.13725246325188342,-0.05526196640112787
132,Jim Knous,-0.02491282051282051,-0.03722564102564103,-0.012312820512820512
