,PLAYER NAME,Drives AVG
216,Matt Every,2.927
217,Matt Fitzpatrick,2.9203333333333332
218,Matt Jones,2.990428571428571
219,Matt Kuchar,2.8684285714285713
220,Matt Wallace,3.0004999999999997
221,Matthew NeSmith,2.9545
222,Matthew Wolff,3.1375
223,Maverick McNealy,2.9765
224,Max Homa,2.9894999999999996
225,Michael Gellerman,2.928
226,Michael Gligic,2.987
227,Michael Kim,2.8726000000000003
228,Michael Putnam,2.888
229,Michael Thompson,2.8954285714285715
230,Miguel Angel Carballo,2.8810000000000002
231,Morgan Hoffmann,2.948
232,Nate Lashley,2.90725
233,Nelson Ledesma,2.9319999999999995
234,Nicholas Lindheim,2.9030000000000005
235,Nicholas Thompson,2.86
236,Nick Taylor,2.936428571428572
237,Nick Watney,3.0095000000000005
238,Ollie Schniederjans,3.028333333333333
239,Oscar Fraustro,2.895
240,Padraig Harrington,2.9005
241,Pat Perez,2.891666666666667
242,Patrick Cantlay,3.0252000000000003
243,Patrick Reed,2.954571428571429
244,Patrick Rodgers,3.0471428571428576
245,Patton Kizzire,2.956
246,Paul Casey,3.0061428571428572
247,Peter Malnati,2.8720000000000003
248,Peter Uihlein,3.0050000000000003
249,Phil Mickelson,2.998142857142857
250,Rafa Cabrera Bello,2.9162
251,Rafael Campos,2.9989999999999997
252,Retief Goosen,2.9234999999999998
253,Rhein Gibson,2.955
254,Richy Werenski,2.9372
255,Rick Lamb,2.98
256,Rickie Fowler,2.9907142857142857
257,Ricky Barnes,2.866
258,Rob Oppenheim,2.837
259,Robby Shelton,2.9515000000000002
260,Robert Allenby,2.8245
261,Robert Garrigus,3.034
262,Robert Streb,2.9334285714285713
263,Roberto Castro,2.8207500000000003
264,Roberto Díaz,2.8685
265,Rod Pampling,2.87575
266,Roger Sloan,2.9417500000000003
267,Rory McIlroy,3.1508333333333334
268,Rory Sabbatini,2.889
269,Russell Henley,2.930428571428571
270,Russell Knox,2.896
271,Ryan Armour,2.8126000000000007
272,Ryan Blaum,2.874333333333333
273,Ryan Brehm,3.127666666666667
274,Ryan Moore,2.8585
275,Ryan Palmer,3.0297142857142854
276,Ryo Ishikawa,2.8899999999999997
277,Sam Burns,3.081666666666667
278,Sam Ryder,2.9652499999999997
279,Sam Saunders,2.9625999999999997
280,Sangmoon Bae,2.9314999999999998
281,Satoshi Kodaira,2.873666666666667
282,Scott Brown,2.9055714285714282
283,Scott Harrington,3.0645000000000002
284,Scott Langley,2.7916666666666665
285,Scott Piercy,2.964142857142857
286,Scott Pinckney,2.9355
287,Scott Stallings,2.9665714285714286
288,Scottie Scheffler,3.0694999999999997
289,Seamus Power,2.9924000000000004
290,Sean O'Hair,2.9923999999999995
291,Sebastian Cappelen,3.015
292,Sebastián Muñoz,2.9865
293,Sepp Straka,3.034333333333333
294,Sergio Garcia,3.0325
295,Seth Reeves,3.114
296,Seung-Yul Noh,2.955
297,Shane Lowry,2.9896000000000003
298,Shawn Stefani,2.9558
299,Si Woo Kim,2.934833333333333
300,Smylie Kaufman,3.019
301,Spencer Levin,2.813333333333334
302,Stephan Jaeger,2.9645
303,Steve Marino,2.92
304,Steve Stricker,2.78
305,Steve Wheatcroft,2.85975
306,Steven Alker,2.776
307,Steven Bowditch,2.927666666666667
308,Stewart Cink,2.979333333333333
309,Stuart Appleby,2.827
310,Sung Joon Park,2.8369999999999997
311,Sung Kang,2.964166666666666
312,Sungjae Im,2.978333333333333
313,Søren Kjeldsen,2.736
314,Tag Ridings,3.016
315,Talor Gooch,2.9839999999999995
316,Ted Potter Jr.,2.8649999999999998
317,Thomas Aiken,2.905
318,Tiger Woods,3.036
319,Tim Wilkinson,2.8065
320,Tom Hoge,2.8974285714285712
321,Tom Lewis,3.025
322,Tom Lovelady,3.159
323,Tommy Fleetwood,3.04
324,Tony Finau,3.1004285714285715
325,Trey Mullinax,3.1270000000000002
326,Troy Merritt,2.904285714285714
327,Tyler Aldridge,2.852
328,Tyler Duncan,2.89725
329,Tyler McCumber,3.098
330,Tyrone Van Aswegen,2.8777500000000003
331,Tyrrell Hatton,2.99
332,Vaughn Taylor,2.830666666666667
333,Vijay Singh,2.902
334,Viktor Hovland,3.0075000000000003
335,Vincent Whaley,2.9875
336,Webb Simpson,2.904571428571429
337,Wes Roach,2.9309999999999996
338,Wesley Bryan,2.801
339,Whee Kim,2.8602
340,Will Gordon,3.1189999999999998
341,Will MacKenzie,2.8560000000000003
342,Will Wilcox,2.9475
343,Will Zalatoris,3.074
344,William McGirt,2.85625
345,Wyndham Clark,3.1050000000000004
346,Xander Schauffele,3.0576000000000003
347,Xinjun Zhang,2.9473333333333334
348,Zac Blair,2.763
349,Zach Johnson,2.859714285714286
350,Zack Sucher,3.016
351,Zecheng Dou,2.9189999999999996
352,Ángel Cabrera,2.9715
