,PLAYER NAME,ROUNDS,%,GREENS HIT,# HOLES,RELATIVE/PAR
283,Troy Merritt,82896972104,64.8465.1668.8566.5064.63,8879977568141140,13681530109812241764,-0.26-0.29-0.32-0.28-0.26
284,Tyler Duncan,97898398,69.6568.4767.5464.26,1166102310091041,1674149414941620,-0.24-0.25-0.27-0.24
285,Tyler McCumber,5770,66.2564.71,632792,9541224,-0.26-0.26
286,Tyrone Van Aswegen,105101,66.3865.23,11591092,17461674,-0.24-0.26
287,Tyrrell Hatton,58624263,66.4666.2869.3163.89,646692524644,97210447561008,-0.24-0.28-0.33-0.32
288,Vaughn Taylor,9083936181,66.6767.0266.8563.7564.67,10089531095700908,15121422163810981404,-0.27-0.27-0.32-0.31-0.27
289,Viktor Hovland,7490,68.4768.61,9121025,13321494,-0.32-0.31
290,Vincent Whaley,4088,66.6765.14,456938,6841440,-0.29-0.28
291,Webb Simpson,10295815277,65.4967.9365.8170.8369.37,11671125924663924,1782165614049361332,-0.27-0.29-0.32-0.36-0.32
292,Wes Roach,6942,67.6467.92,767489,1134720,-0.28-0.27
293,Wesley Bryan,9569,60.5061.28,991739,16381206,-0.28-0.27
294,Whee Kim,749373,62.5863.5566.18,8111018822,129616021242,-0.27-0.29-0.25
295,Will Gordon,3692,71.7067.36,4131067,5761584,-0.27-0.29
296,Will Zalatoris,90,69.54,1089,1566,-0.28
297,William McGirt,8984,67.2067.59,1004949,14941404,-0.23-0.24
298,Wyndham Clark,876584,65.9562.5763.39,1009687890,153010981404,-0.34-0.31-0.29
299,Xander Schauffele,9696777083,68.0065.5968.3970.8768.64,11261098911893939,16561674133212601368,-0.29-0.29-0.32-0.31-0.34
300,Xinjun Zhang,817772,67.0466.0262.34,905915763,135013861224,-0.24-0.29-0.26
301,Zac Blair,1056470,64.7066.4863.47,1153694754,178210441188,-0.24-0.27-0.26
302,Zach Johnson,8194646184,64.2167.4362.5968.0366.87,89010567217471011,13861566115210981512,-0.27-0.29-0.27-0.28-0.27
303,Zack Sucher,38,68.36,443,648,-0.26
304,Zecheng Dou,53,63.72,562,882,-0.21
