,PLAYER NAME,ROUNDS,%,GREENS HIT,# HOLES,RELATIVE/PAR
29,Bo Hoag,7193,69.9869.67,8441091,12061566,-0.25-0.25
30,Bo Van Pelt,4578,65.1265.05,504843,7741296,-0.22-0.25
31,Boo Weekley,75,68.65,902,1314,-0.22
32,Brad Fritsch,56,64.21,601,936,-0.23
33,Brady Schnell,53,64.49,592,918,-0.26
34,Branden Grace,7067764387,66.4067.1066.0968.4364.47,753773809505940,1134115212247381458,-0.23-0.27-0.25-0.26-0.30
35,Brandon Hagy,855082,64.5067.6362.99,894560839,13868281332,-0.28-0.28-0.28
36,Brandon Harkins,10191,65.6767.67,11231011,17101494,-0.31-0.29
37,Brandt Snedeker,53841025390,67.1165.0464.9365.9364.48,6049601157629975,900147617829541512,-0.28-0.29-0.29-0.27-0.30
38,Brendan Steele,8974686882,67.2669.2469.9868.1465.42,1017835781785895,15121206111611521368,-0.28-0.24-0.24-0.29-0.27
39,Brendon Todd,8693,65.5064.86,10141004,15481548,-0.29-0.29
40,Brett Drewitt,57,64.78,618,954,-0.22
41,Brett Stegmaier,7867,66.7470.31,913772,13681098,-0.24-0.26
42,Brian Campbell,55,63.29,581,918,-0.28
43,Brian Gay,82103936772,63.5364.5264.3664.8160.71,89211731031735765,14041818160211341260,-0.27-0.30-0.27-0.30-0.26
44,Brian Harman,104949178105,63.7867.5964.1765.6764.33,1148109510289221158,18001620160214041800,-0.29-0.26-0.28-0.31-0.32
45,Brian Stuard,931039883108,63.3567.1264.8965.0966.72,992117210989491249,15661746169214581872,-0.25-0.25-0.27-0.28-0.27
46,Brice Garnett,998758100,66.7869.5469.9268.12,114210647301128,1710153010441656,-0.26-0.28-0.27-0.26
47,Bronson Burgoon,69595576,68.4467.9866.8868.36,850673638886,12429909541296,-0.28-0.27-0.31-0.25
48,Brooks Koepka,8864814066,63.4768.2869.9766.8168.01,914762932481808,1440111613327201188,-0.35-0.31-0.32-0.29-0.32
49,Bryce Molder,74,61.79,823,1332,-0.24
50,Bryson DeChambeau,9193756283,65.4869.6566.2068.4667.15,10491166858764967,16021674129611161440,-0.26-0.30-0.32-0.34-0.37
51,Bubba Watson,7190656677,62.8768.2166.7667.6867.95,713970697804844,11341422104411881242,-0.27-0.28-0.27-0.28-0.25
52,Bud Cauley,92558265,67.3664.2667.2165.57,1067613992720,158495414761098,-0.27-0.26-0.31-0.27
53,Byeong Hun An,7786807586,64.0467.9967.7565.7863.29,8301028939888957,12961512138613501512,-0.25-0.26-0.29-0.28-0.25
54,C.T. Pan,88104845682,67.2571.2064.1667.2665.83,10411256947678948,15481764147610081440,-0.22-0.26-0.27-0.22-0.26
55,Cam Davis,766294,68.7569.2565.31,8917231105,129610441692,-0.29-0.29-0.34
56,Cameron Champ,787079,69.3067.7066.00,948853891,136812601350,-0.29-0.29-0.30
57,Cameron Percy,71564985,69.9169.5669.6372.58,8186265641006,11709008101386,-0.23-0.29-0.26-0.25
58,Cameron Smith,8685796489,63.1463.1863.6664.0665.72,932887848738970,14761404133211521476,-0.31-0.30-0.29-0.31-0.37
59,Cameron Tringale,8967736394,64.3965.5269.6669.6667.63,9627438157901120,14941134117011341656,-0.26-0.23-0.29-0.27-0.31
60,Camilo Villegas,7681,61.8865.58,802909,12961386,-0.30-0.27
61,Carl Pettersson,63,57.91,615,1062,-0.28
62,Carlos Ortiz,847295,67.8266.7467.03,10018651110,147612961656,-0.27-0.29-0.31
63,Chad Campbell,9787,69.0765.54,1206932,17461422,-0.24-0.21
64,Chad Collins,66,60.93,680,1116,-0.25
65,Charl Schwartzel,636590,61.7661.1166.86,6676381035,108010441548,-0.29-0.25-0.27
66,Charles Howell III,86104946970,67.0169.3370.5168.7667.22,98912481155854847,14761800163812421260,-0.27-0.26-0.29-0.28-0.24
67,Charley Hoffman,112877463103,66.6266.5366.5168.3667.85,12959588387261209,19441440126010621782,-0.30-0.27-0.27-0.32-0.31
68,Chase Seiffert,5684,68.1166.74,662937,9721404,-0.28-0.27
69,Chase Wright,75,67.95,844,1242,-0.29
70,Chesson Hadley,103766278,67.6864.6470.2164.58,1206861733837,1782133210441296,-0.30-0.27-0.30-0.28
71,Chez Reavie,9893997790,67.3168.6767.9367.2467.13,1151106311259321015,17101548165613861512,-0.27-0.27-0.30-0.25-0.24
72,Chris Baker,5362,70.0765.74,618639,882972,-0.24-0.22
73,Chris Kirk,8910890,66.7368.2468.35,99713021058,149419081548,-0.28-0.27-0.28
74,Chris Stroud,67817048,66.2062.9462.9964.61,703827703535,106213141116828,-0.26-0.27-0.28-0.29
75,Cody Gribble,797174,62.7062.4861.62,869731732,138611701188,-0.29-0.28-0.31
76,Collin Morikawa,8083,69.0370.80,994994,14401404,-0.31-0.31
77,Conrad Shindler,60,66.27,668,1008,-0.26
78,Corey Conners,979074107,70.1973.0671.5569.93,117511319531309,1674154813321872,-0.24-0.25-0.25-0.30
79,Curtis Luck,65,62.43,663,1062,-0.28
80,D.A. Points,6863,66.8360.20,818661,12241098,-0.24-0.26
81,D.J. Trahan,4970,68.2065.57,577779,8461188,-0.26-0.24
82,Daniel Berger,9181706487,66.6766.8965.1566.9370.50,10329157747711066,15481368118811521512,-0.29-0.26-0.28-0.32-0.31
83,Daniel Summerhays,10051,63.4256.79,1073460,1692810,-0.27-0.28
84,Danny Lee,9388836961,66.1065.0566.7465.6264.78,10591007973815688,16021548145812421062,-0.28-0.29-0.28-0.29-0.26
85,Danny Willett,634051,66.2362.5060.64,751450513,1134720846,-0.26-0.27-0.28
86,David Hearn,9366555568,64.7168.8967.4966.8866.32,990744571614764,153010808469181152,-0.24-0.26-0.27-0.25-0.25
87,David Lingmerth,7982,63.1163.03,852885,13501404,-0.28-0.30
88,Denny McCarthy,71898194,68.1765.9867.4664.01,7739629351083,1134145813861692,-0.26-0.33-0.32-0.28
89,Derek Fathauer,8184,62.8160.35,848869,13501440,-0.29-0.29
90,Doc Redman,8284,70.8065.86,1045901,14761368,-0.29-0.25
91,Dominic Bozzelli,69657338,61.9760.9466.9262.96,725713807408,117011701206648,-0.25-0.28-0.33-0.33
92,Doug Ghim,4490,69.5869.64,5011078,7201548,-0.23-0.28
93,Dustin Johnson,7777734975,69.5270.5766.9869.2766.67,876940844611864,1260133212608821296,-0.30-0.37-0.32-0.35-0.34
94,Dylan Frittelli,838278,68.2465.7964.04,995971830,145814761296,-0.26-0.26-0.25
95,Emiliano Grillo,90948569100,66.9968.8468.7371.5471.47,104911409658371235,15661656140411701728,-0.26-0.28-0.27-0.26-0.29
96,Erik van Rooyen,85,64.38,846,1314,-0.31
97,Ernie Els,5251,56.8463.72,532562,936882,-0.26-0.24
98,Ethan Tracy,72,64.87,794,1224,-0.26
99,Fabián Gómez,6188625960,64.6967.8668.1066.6762.24,6871026760660605,106215121116990972,-0.25-0.25-0.26-0.28-0.24
100,Francesco Molinari,757361,67.2870.2463.58,872885618,12961260972,-0.27-0.26-0.25
101,Freddie Jacobson,53,63.18,580,918,-0.27
102,Gary Woodland,9496876274,69.4870.5169.0568.1962.94,111311551044761793,16021638151211161260,-0.25-0.27-0.33-0.31-0.30
103,Geoff Ogilvy,80,65.51,849,1296,-0.23
104,Gonzalo Fernandez-Castaño,63,62.20,627,1008,-0.26
105,Graeme McDowell,56677548,62.6064.5064.7963.31,631685828547,100810621278864,-0.28-0.24-0.28-0.26
106,Graham DeLaet,82,68.57,938,1368,-0.27
107,Grayson Murray,94723653,63.9562.5063.8962.59,1036810414552,16201296648882,-0.30-0.30-0.30-0.25
108,Greg Chalmers,7556,59.8656.94,765533,1278936,-0.26-0.27
109,Hank Lebioda,765774,69.2167.6869.14,872670896,12609901296,-0.27-0.26-0.27
110,Harold Varner III,10191847496,67.6867.7967.2170.5767.78,120610869929401098,17821602147613321620,-0.25-0.25-0.28-0.28-0.28
111,Harris English,8484977695,63.9663.3266.8570.9165.76,87588910959701089,13681404163813681656,-0.26-0.29-0.28-0.29-0.34
112,Harry Higgs,8382,66.0663.68,987917,14941440,-0.28-0.34
113,Henrik Norlander,7488,70.6569.18,9411046,13321512,-0.28-0.23
114,Henrik Stenson,6058,73.5166.11,741595,1008900,-0.26-0.26
115,Hideki Matsuyama,8375917496,69.0169.2969.3868.5467.03,94489810999131122,13681296158413321674,-0.32-0.30-0.30-0.30-0.31
116,Hudson Swafford,94735982,68.2168.9966.7667.89,11058326851002,1620120610261476,-0.27-0.25-0.30-0.29
117,Hunter Mahan,73675959,64.5568.9668.2757.50,825782725590,1278113410621026,-0.23-0.28-0.28-0.27
118,Ian Poulter,7273654876,64.4667.0166.8662.6260.88,789772698541789,1224115210448641296,-0.25-0.26-0.30-0.32-0.29
119,J.B. Holmes,83777850,62.5765.2665.5760.30,856881838521,136813501278864,-0.30-0.28-0.27-0.28
120,J.J. Henry,928158,69.4470.5266.67,1075952624,15481350936,-0.21-0.21-0.17
121,J.J. Spaun,9285906276,67.1269.4868.3666.0067.36,10399881009689873,15481422147610441296,-0.26-0.28-0.27-0.28-0.23
122,J.T. Poston,95731007887,65.5268.3166.8464.7462.24,10268731155909941,15661278172814041512,-0.30-0.28-0.29-0.31-0.31
123,James Hahn,96853672,66.0968.2969.4468.81,11421008450867,172814766481260,-0.25-0.26-0.27-0.29
124,Jamie Lovemark,9892,66.0964.65,11421024,17281584,-0.28-0.29
125,Jason Bohn,75,63.15,807,1278,-0.21
126,Jason Day,7175695368,63.7265.2869.7064.7866.67,757799803618780,1188122411529541170,-0.34-0.33-0.30-0.30-0.27
127,Jason Dufner,8971746288,67.2164.2470.7667.8365.96,9927409177571021,14761152129611161548,-0.27-0.24-0.24-0.22-0.24
128,Jason Kokrak,9599946295,66.7870.3768.7768.6469.19,1142125411147661096,17101782162011161584,-0.26-0.28-0.30-0.25-0.32
129,Jhonattan Vegas,9592755290,65.9365.1769.2970.2268.81,106810448986321090,1620160212969001584,-0.26-0.25-0.30-0.28-0.29
130,Jim Furyk,54507339,66.1263.1969.2874.22,607546848521,9188641224702,-0.23-0.23-0.24-0.22
131,Jim Herman,77526066,68.0766.2064.1766.67,919572693792,135086410801188,-0.25-0.27-0.22-0.24
132,Jim Knous,57,67.71,646,954,-0.25
133,Jimmy Walker,6881744674,63.5761.9064.7162.2057.96,698858862515772,1098138613328281332,-0.27-0.29-0.23-0.27-0.27
134,Joaquin Niemann,9876105,68.0669.3068.57,11769481259,172813681836,-0.28-0.28-0.31
135,Joel Dahmen,931007988,68.8266.7263.8565.24,10531153908963,1530172814221476,-0.26-0.29-0.29-0.29
136,Joey Garber,63,66.37,681,1026,-0.25
137,John Chin,58,68.72,668,972,-0.24
138,John Huh,929462,65.7865.8065.52,10421066684,158416201044,-0.24-0.29-0.24
139,Johnson Wagner,717564,66.9367.8771.55,759843747,113412421044,-0.24-0.28-0.29
140,Jon Rahm,9071755886,68.6170.1269.0470.3171.93,1025833845734997,14941188122410441386,-0.29-0.31-0.33-0.33-0.34
141,Jonas Blixt,746782,61.5162.0265.13,775681891,126010981368,-0.29-0.24-0.29
142,Jonathan Byrd,7055,68.1965.19,761575,1116882,-0.25-0.27
143,Jonathan Randolph,6871,62.8760.43,713707,11341170,-0.25-0.24
144,Jordan Spieth,8581826292,70.0170.4762.8062.3764.58,9839648936961023,14041368142211161584,-0.34-0.29-0.34-0.32-0.35
145,Joseph Bramlett,5784,70.0268.87,668967,9541404,-0.25-0.26
146,Josh Teater,734354,70.4871.5466.90,850528578,1206738864,-0.27-0.29-0.29
