,PLAYER NAME,OTT Carry,APR Carry,ARG Carry
85,Danny Willett,0.0048000000000000004,-0.029300000000000003,0.048400000000000006
86,David Hearn,-0.123,0.014399999999999994,-0.0283
87,David Lingmerth,-0.0026,-0.0106,-0.011200000000000002
88,Denny McCarthy,-0.0274,-0.1391,0.016499999999999997
89,Derek Fathauer,-0.1213,-0.0501,-0.019700000000000002
90,Doc Redman,0.0311,0.0799,-0.0534
91,Dominic Bozzelli,-0.1268,-0.1753,-0.021700000000000004
92,Doug Ghim,0.0178,0.027200000000000005,0.026099999999999998
93,Dustin Johnson,0.36660000000000004,0.2626,0.0742
94,Dylan Frittelli,0.0347,-0.0104,0.0728
95,Emiliano Grillo,0.182,0.2801,-0.1061
96,Erik van Rooyen,0.0126,0.0141,0.0052
97,Ernie Els,-0.1028,-0.0859,0.0215
