,PLAYER NAME,Par3
277,Sam Burns,3.09
278,Sam Ryder,3.03
279,Sam Saunders,3.054
280,Sangmoon Bae,3.065
281,Satoshi Kodaira,3.1133333333333333
282,Scott Brown,3.0500000000000003
283,Scott Harrington,3.1
284,Scott Langley,3.043333333333333
285,Scott Piercy,3.048571428571429
286,Scott Pinckney,3.0599999999999996
287,Scott Stallings,3.0471428571428576
288,Scottie Scheffler,3.045
289,Seamus Power,3.052
290,Sean O'Hair,3.0799999999999996
291,Sebastian Cappelen,3.1399999999999997
292,Sebastián Muñoz,3.0424999999999995
293,Sepp Straka,3.0566666666666666
294,Sergio Garcia,3.07
295,Seth Reeves,3.14
296,Seung-Yul Noh,3.0533333333333332
297,Shane Lowry,3.066
298,Shawn Stefani,3.048
299,Si Woo Kim,3.0833333333333335
300,Smylie Kaufman,3.0700000000000003
301,Spencer Levin,3.043333333333333
302,Stephan Jaeger,3.065
303,Steve Marino,3.11
304,Steve Stricker,3.03
305,Steve Wheatcroft,3.08
306,Steven Alker,3.0149999999999997
307,Steven Bowditch,3.1366666666666667
308,Stewart Cink,3.033333333333333
309,Stuart Appleby,3.06
310,Sung Joon Park,3.03
311,Sung Kang,3.0866666666666664
312,Sungjae Im,3.033333333333333
313,Søren Kjeldsen,3.13
314,Tag Ridings,3.02
315,Talor Gooch,3.0324999999999998
316,Ted Potter Jr.,3.12
317,Thomas Aiken,3.06
318,Tiger Woods,3.07
319,Tim Wilkinson,3.0425
320,Tom Hoge,3.045714285714286
321,Tom Lewis,3.11
322,Tom Lovelady,3.1
323,Tommy Fleetwood,3.0475
324,Tony Finau,3.0471428571428567
325,Trey Mullinax,3.0833333333333335
326,Troy Merritt,3.0371428571428574
327,Tyler Aldridge,3.05
328,Tyler Duncan,3.05
329,Tyler McCumber,3.09
330,Tyrone Van Aswegen,3.0225
331,Tyrrell Hatton,3.0500000000000003
332,Vaughn Taylor,3.0366666666666666
333,Vijay Singh,3.045
334,Viktor Hovland,3.04
335,Vincent Whaley,3.085
336,Webb Simpson,3.0157142857142856
337,Wes Roach,3.0400000000000005
338,Wesley Bryan,3.045
339,Whee Kim,3.04
340,Will Gordon,3.02
341,Will MacKenzie,3.08
342,Will Wilcox,3.055
343,Will Zalatoris,3.03
344,William McGirt,3.0575
345,Wyndham Clark,3.08
346,Xander Schauffele,3.0539999999999994
347,Xinjun Zhang,3.0566666666666666
348,Zac Blair,3.04
349,Zach Johnson,3.025714285714286
350,Zack Sucher,3.05
351,Zecheng Dou,3.1
352,Ángel Cabrera,3.09
